task,stage,user,editors,updatedAt,instructions_understand,instructions_execute,instructions_replicate,goal_maximize,goal_standard,goal_optimize,goal_full,goal_partial,measure_easy,measure_immediate,outcome_certain,outcome_probablistic,outcome_evident,solution_valid,solution_optimal,solution_count,solution_range,solution_singularity,solution_path,solution_objectivity,solution_verifiability,solution_demonstrability,stakeholder_multiplicity,metric_multiplicity,objective_multiplicity,solution_multiplicity,individual_theoretical,individual_practical,group_dependencies,participation_equal,conflict_cooperation,conflict_interests,external_adversary,external_standard,task_divisibility,task_specialization,skills_specialization,subtasks_additive,subtasks_disjunctive,performance_all,performance_worst,performance_best,performance_random,performance_average,performance_cumulative,submission_together,submission_separate,subtasks_discretionary_weight,subtasks_discretionary_combination,complexity_easier,complexity_harder,familiarity_population,familiarity_individual,intrinsic_overall,intrinsic_mastery,intrinsic_connectedness,intrinsic_autonomy,effort_mental,effort_physical,generate_plan,generate_process,generate_ideas,generate_creativity,resolve_opinion,resolve_perspectives,resolve_information,resolve_data,options_evaluating,options_independent,options_dependent,metric_multiplicity_tradeoff,name_clean,name,phase,source,implemented,task summary url
Bullard Houses,individual,Dodge,dodgehill -> sarikasu,2021-09-23T00:03:34.566Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,More than 20,More than 20,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Best performing member,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,"Give opposing groups an easier middle ground, i.e. increase buyers offer",Limit intragroup/intergroup communications,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,bullard houses,Bullard Houses,2,https://d1wqtxts1xzle7.cloudfront.net/51359748/The_Agreement_Bias_in_Negotiation_Teams_20170115-19001-1910usu.pdf?1484476045=&response-content-disposition=inline%3B+filename%3DThe_Agreement_Bias_in_Negotiation_Teams.pdf&Expires=1607052392&Signature=SeqqYgwSvql2TaWuUf3h8dxy-5Z~kbdlEeeIwGVJtMXTrGo5VHB6uldnx07DjJcxszcgZUJxflH1A9DZZf-ypFJ1UePsbh~TH~LC65vH9JrJYY-zaJxxTFEOOc3rlm6C49G~Zq0xSBBYfMton37gV1pLefCC8EH2E1eaozkeEBT-a56127Evom~H4PIQIykRvD4vr0UdCyeYTccK7fEGiJwCRygt9CAf4SDeXbbtufbWxwWOK2MCW1gvJDFuumoUhESBCYrCDrRvcFkpTJxkgO~mKhjVIYOcSPJEyq~MbeTX2r0h~7-HvysCd7GrL59fsDdr2XgYoNbr7Ax83dVQgg__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,FALSE,https://github.com/Watts-Lab/task-mapping/blob/Bullard-Houses/tasks/Bullard%20Houses.md
Word completion given starting letter,individual,Katelyn,katelynbottcher -> sarikasu,2021-10-23T17:08:30.956Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,More than 20,More than 20,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,"c(""Best performing member"", ""Cumulative performance"")",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,give categories that potential words can fall into,give more letters,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,word completion given starting letter,Word completion given starting letter,2,https://science.sciencemag.org/content/330/6004/686.full,FALSE,https://github.com/Watts-Lab/task-mapping/blob/Word-completion-given-starting-letter
Volunteer Investment Game,individual,Andrew,andydrew93 -> sarikasu,2021-03-11T16:33:25.009Z,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,2-5,3,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Unsure,NA,NA,NA,NA,NA,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,remove payoff penalty for voluntary investment,increase payoff penalty for voluntary investment,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,NA,volunteer investment game,Volunteer Investment Game,2,Babcock 2017,FALSE,https://github.com/Watts-Lab/task-mapping/issues/37
Abstract grid task,agreement,Sarika | katelynnbottcher,sarikasu -> katelynbottcher,2021-10-18T21:17:39.948Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,1,1,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Cumulative performance,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,provide a hint on where to look first ,make the grid shape more complex ,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,abstract grid,Abstract grid task,2,https://www.nature.com/articles/s41586-021-03380-y,FALSE,https://github.com/Watts-Lab/task-mapping/issues/132#issue-887315383
Mastermind,individual,Katelyn,katelynbottcher -> dodgehill,2021-05-13T14:55:51.830Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,More than 20,More than 20,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,NA,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,"c(""Cumulative performance"", ""Performance of a randomly chosen member"")",Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,tell which position or color is correct,add more positions,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,mastermind,Mastermind,2,https://www.sciencedirect.com/science/article/abs/pii/S0749597802000109,FALSE,https://github.com/Watts-Lab/task-mapping/blob/master/Mastermind.md
Husbands and wives transfer,individual,Sarika,katelynbottcher -> sarikasu,2021-04-15T14:50:36.244Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,2-5,2-5,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,"c(""Best performing member"", ""Cumulative performance"")",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,only use easy puzzles ,only use difficult puzzles ,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,husbands and wives transfer,Husbands and wives transfer,2,https://www.tandfonline.com/doi/abs/10.1080/00223980.1959.9916346?journalCode=vjrl20 ,FALSE,https://github.com/Watts-Lab/task-mapping/pull/97
Viking,individual,Sarika,sarikasu -> KaranSampath,2021-08-12T15:38:12.736Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,2-5,2-5,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Average performance,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,remove some of the negotiation terms to allow for more agreement,add a third person to the negotiation to make things more complex,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,viking,Viking,2, https://psycnet.apa.org/record/2007-13393-008,FALSE,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Viking.md
Space Fortress,individual,Sarika,dodgehill -> sarikasu,2021-09-29T13:12:08.991Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,More than 20,more than 20 ,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Cumulative performance,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,provide more practice rounds ,limit communication between group members,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,space fortress,Space Fortress,2,"Edwards et al 2006; originally Donchin, 1989; Mane´ & Donchin, 1989; best source Arthur et al 1995",FALSE,https://github.com/Watts-Lab/task-mapping/blob/6bc90e19a0153b57f14d936dadc2e9c60d53d9b2/tasks/Space%20Fortress.md
Railroad Route Construction game,agreement,Katelyn | Sarika,katelynbottcher -> sarikasu,2021-03-19T20:40:33.780Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,More than 20,30,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Cumulative performance,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,less pieces ,increase pieces ,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,NA,railroad route construction game,Railroad Route Construction game,2,https://www.pnas.org/content/117/12/6370.short,FALSE,https://github.com/Watts-Lab/task-mapping/blob/master/reproducing%20arts.md 
Recall association,individual,Andrew,sarikasu -> katelynbottcher,2021-03-04T20:48:13.641Z,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,11-20,12 per condition per round,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Cumulative performance,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,n.a,make the participants do an intermediate in between the information presentation and the recall task,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,NA,recall association,Recall association,2,https://link.springer.com/article/10.3758/BF03196740,FALSE,https://github.com/Watts-Lab/task-mapping/blob/1268e33fb640b059dfa6a04cf627008f48ed2693/tasks/recall-association.md
reproducing arts,individual,Katelyn,katelynbottcher  -> andydrew93,2021-03-28T14:30:59.292Z,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,More than 20,as many as there are cells (more than 20),Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Cumulative performance,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,have less cells,have more cells,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,reproducing arts,reproducing arts,2,https://science.sciencemag.org/content/330/6004/686.full,FALSE,https://github.com/Watts-Lab/task-mapping/issues/60
